name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude
Anthem at Ledge Stone,"383 Rocky Ridge Trl, Austin, TX 78737","Dog & Cat Friendly, Dishwasher, Business Center",383 Rocky Ridge Trl, Austin,TX,78737,1436,2023,1,3,APT,2023-10-25 18:16:07,30.2075347,-97.98061609999999
Alexan Waterloo,"700 E 11th St, Austin, TX 78701","Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service, Controlled Access, Elevator, Rooftop Deck",700 E 11th St, Austin,TX,78701,1399,0,1,0,APT,2023-10-25 18:16:07,30.2711201,-97.733947
East Vue Ranch Apartments,"460 Bastrop Hwy SB, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Controlled Access, Yard",460 Bastrop Hwy SB, Austin,TX,78741,1451,4228,1,2,APT,2023-10-25 18:16:07,30.23683429999999,-97.6888268
The Monroe,"2511 Montopolis Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Stainless Steel Appliances, Gated",2511 Montopolis Dr, Austin,TX,78741,1099,1695,1,0,APT,2023-10-25 18:16:07,30.2182924,-97.70719779999999
Arise Riverside,"1900 Airport Commerce Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",1900 Airport Commerce Dr, Austin,TX,78741,1499,0,1,2,APT,2023-10-25 18:16:07,30.221444,-97.691433
The Zoey,"5700 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Stainless Steel Appliances, Business Center",5700 E Riverside Dr, Austin,TX,78741,1256,1721,1,2,APT,2023-10-25 18:16:07,30.2286231,-97.7101883
ArborView Circle C Ranch 62+,"12100 Archeleta Blvd, Austin, TX 78739","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, Hardwood Floors",12100 Archeleta Blvd, Austin,TX,78739,1525,1775,1,2,APT,2023-10-25 18:16:07,30.1710599,-97.89199649999999
Laurel,"2001 Ed Bluestein Blvd, Austin, TX 78721","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service, Elevator, EV Charging",2001 Ed Bluestein Blvd, Austin,TX,78721,1542,2743,1,3,APT,2023-10-25 18:16:07,30.2597423,-97.67397129999999
Wilder,"8350 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Gated, EV Charging",8350 Bluff Springs Rd, Austin,TX,78744,1391,1670,1,0,APT,2023-10-25 18:16:07,30.1681308,-97.7725019
LaRue on Highland,"500 E Highland Mall Blvd, Austin, TX 78752","Dog & Cat Friendly, Clubhouse, Laundry Facilities",500 E Highland Mall Blvd, Austin,TX,78752,1274,0,1,0,APT,2023-10-25 18:16:07,30.3291812,-97.7103368
The Banks of Springdale,"5521 Springdale Rd, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Business Center, EV Charging",5521 Springdale Rd, Austin,TX,78723,1518,2369,1,0,APT,2023-10-25 18:16:07,30.298264,-97.67400359999999
Perch,"7731 Menchaca Rd, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Yard",7731 Menchaca Rd, Austin,TX,78745,1499,1625,1,2,APT,2023-10-25 18:16:07,30.19313799999999,-97.809652
