name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude,closest_theater_distance_miles,closest_grocery_distance_miles
The Markson Austin,"5313 Vega Ave, Austin, TX 78735","Dog & Cat Friendly, Fitness Center, Kitchen, Clubhouse, Carpet, Courtyard, Concierge",5313 Vega Ave, Austin,TX,78735,1279,1877,1,3,APT,2023-10-25 18:16:07,30.2466552,-97.8542435,3.419678275163437,1.9047044351460183
Limestone Ridge (55+),"7011 McKinney Falls Pky, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Granite Countertops",7011 McKinney Falls Pky, Austin,TX,78744,1099,0,1,0,APT,2023-10-25 18:16:07,30.1647906,-97.7207738,3.727993388077761,3.309329202739826
Camber Ranch,"5005 E Parmer Ln, Austin, TX 78754","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Maintenance on site, High-Speed Internet",5005 E Parmer Ln, Austin,TX,78754,1475,1520,1,0,APT,2023-10-25 18:16:07,30.3709475,-97.6236759,5.817632298395255,3.693920977164006
The James on Grand Avenue,"15701 FM 1325, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Balcony, Patio, Business Center, Controlled Access",15701 FM 1325, Austin,TX,78728,1225,0,1,2,APT,2023-10-25 18:16:07,30.4661125,-97.6936,2.1975508510831,2.2933829880910013
Crosstown,"6507 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, High-Speed Internet, Package Service",6507 E Riverside Dr, Austin,TX,78741,1450,1570,1,0,APT,2023-10-25 18:16:07,30.223656,-97.701562,4.330825333958284,1.5139631375251072
Urban East,"6400 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer",6400 E Riverside Dr, Austin,TX,78741,1525,1705,1,0,APT,2023-10-25 18:16:07,30.2250707,-97.7013514,4.291745038457935,1.4697292573036354
Veranda,"7205 E Ben White Blvd, Austin, TX 78744","Dog & Cat Friendly, Maintenance on site",7205 E Ben White Blvd, Austin,TX,78744,1479,1834,1,0,APT,2023-10-25 18:16:07,30.2151745,-97.6979817,4.443800886064644,2.0595758008103173
High Point Preserve,"9301 E Highway 290, Austin, TX 78724","Dog & Cat Friendly, Business Center, Package Service, Controlled Access, Granite Countertops, Gated",9301 E Highway 290, Austin,TX,78724,1295,1835,1,0,APT,2023-10-25 18:16:07,30.3258127,-97.6730744,2.660660209586332,1.0097700413345223
The Bennett,"7301 S IH-35 SVRD NB, Austin, TX 78744","Dog & Cat Friendly, Stainless Steel Appliances, Yard",7301 S IH-35 SVRD NB, Austin,TX,78744,1372,1617,1,0,APT,2023-10-25 18:16:07,30.1835133,-97.7741648,1.0493460996158486,0.494974671567714
Delco Flats,"7601 Springdale Rd, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, High-Speed Internet, Elevator, EV Charging",7601 Springdale Rd, Austin,TX,78724,1400,0,1,0,APT,2023-10-25 18:16:07,30.3193613,-97.6603425,3.004928345582095,0.4388568451573629
Prospect,"122 Sheraton Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center",122 Sheraton Ave, Austin,TX,78745,1314,1650,1,0,APT,2023-10-25 18:16:07,30.2149111,-97.767456,1.161633768032521,1.8004948910625338
3600 Capitol View,"9002 Capitol View Dr, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Balcony, CableReady, Patio, Stainless Steel Appliances",9002 Capitol View Dr, Austin,TX,78747,1250,0,1,2,APT,2023-10-25 18:16:07,30.1489394,-97.7465851,2.841861218223981,2.7672681186117627
Ariza Easton Park,"8001 E William Cannon Dr, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",8001 E William Cannon Dr, Austin,TX,78744,1520,0,1,0,APT,2023-10-25 18:16:07,30.1562188,-97.7111928,4.545564992087646,4.108034976046696
Cascades at Onion Creek,"2213 Cascades Ave, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Clubhouse, Heat, Tub / Shower, Stainless Steel Appliances",2213 Cascades Ave, Austin,TX,78747,1345,1648,1,0,APT,2023-10-25 18:16:07,30.1328937,-97.7973284,1.6286494174283637,1.6286494174283637
Alloy,"10400 Research Blvd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service",10400 Research Blvd, Austin,TX,78759,1527,0,1,0,APT,2023-10-25 18:16:07,30.3965944,-97.7474789,0.7631522634887885,0.12390873833983795
Wildhorse Flats,"10525 Wildhorse Ranch Trl, Austin, TX 78724","Dog & Cat Friendly, Kitchen, Range, Oven",10525 Wildhorse Ranch Trl, Austin,TX,78724,1250,0,1,2,APT,2023-10-25 18:16:07,30.331183,-97.5834645,7.567531806594668,4.9319803700445854
Citizen House MLK,"6117 FM 969, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Ceiling Fans, Elevator, Playground",6117 FM 969, Austin,TX,78724,1524,1549,1,0,APT,2023-10-25 18:16:07,30.283022,-97.6632122,2.6909154476012023,2.1184674798467746
Velo Flats,"2606 Wheless Ln, Austin, TX 78723","Dishwasher, Disposal, High-Speed Internet, Stainless Steel Appliances, Business Center, Laundry Facilities",2606 Wheless Ln, Austin,TX,78723,1335,0,1,2,APT,2023-10-25 18:16:07,30.3109427,-97.680095,1.6929042547899311,0.999891711296901
The Avery,"15222 FM 620 N, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Package Service, Online Services",15222 FM 620 N, Austin,TX,78717,1489,2249,1,0,APT,2023-10-25 18:16:07,30.4835411,-97.74126710000002,3.7530901925014053,1.633971787692295
Rhythm,"9701 Spectrum Dr, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Online Services, EV Charging",9701 Spectrum Dr, Austin,TX,78717,1274,5022,1,2,APT,2023-10-25 18:16:07,30.4801919,-97.7701094,2.0202084731770924,1.658001458006128
